datetime,Daily Precipitation (in),Daily Snow Depth (in),Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F),Daily Water Equivalent (in)
1999-09-30 00:00:00+00:00,,,37.76,43.34,32.0,
1999-10-01 00:00:00+00:00,0.0,,35.6,47.3,28.58,0.0
1999-10-02 00:00:00+00:00,0.0,,28.4,31.64,24.62,0.0
1999-10-03 00:00:00+00:00,0.0,,41.54,50.72,22.46,0.0
1999-10-04 00:00:00+00:00,0.0,,50.54,61.16,36.86,0.0
1999-10-05 00:00:00+00:00,0.0,,48.74,68.54,34.34,0.0
1999-10-06 00:00:00+00:00,0.0,,44.42,57.74,33.26,0.0
1999-10-07 00:00:00+00:00,0.0,,43.7,48.92,32.36,0.0
1999-10-08 00:00:00+00:00,0.0,,53.06,60.98,44.6,0.0
1999-10-09 00:00:00+00:00,0.0,,44.24,54.86,31.1,0.0
1999-10-10 00:00:00+00:00,0.0,,40.1,58.1,28.76,0.0
1999-10-11 00:00:00+00:00,0.0,,52.16,62.6,33.62,0.0
1999-10-12 00:00:00+00:00,0.0,,46.58,52.34,38.3,0.0
1999-10-13 00:00:00+00:00,0.0,,55.4,65.12,47.84,0.0
1999-10-14 00:00:00+00:00,0.0,,46.4,56.12,31.64,0.0
1999-10-15 00:00:00+00:00,0.0,,28.94,36.5,22.64,0.0
1999-10-16 00:00:00+00:00,0.0,,26.06,33.98,11.84,0.0
1999-10-17 00:00:00+00:00,0.0,,37.76,42.44,33.44,0.0
1999-10-18 00:00:00+00:00,0.0,,34.34,42.8,28.04,0.0
1999-10-19 00:00:00+00:00,0.0,,42.62,48.2,30.2,0.0
1999-10-20 00:00:00+00:00,0.0,,51.62,57.74,44.6,0.0
1999-10-21 00:00:00+00:00,0.0,,49.46,57.92,35.96,0.0
1999-10-22 00:00:00+00:00,0.0,,45.68,61.34,35.78,0.0
1999-10-23 00:00:00+00:00,0.0,,48.38,64.58,35.06,0.0
1999-10-24 00:00:00+00:00,0.0,,49.82,58.28,33.26,0.0
1999-10-25 00:00:00+00:00,0.0,,48.92,59.36,32.9,0.0
1999-10-26 00:00:00+00:00,0.0,,52.88,63.14,39.56,0.0
1999-10-27 00:00:00+00:00,0.3,,33.08,40.28,29.84,0.0
1999-10-28 00:00:00+00:00,0.5,,37.58,46.94,32.72,0.0
1999-10-29 00:00:00+00:00,0.3,,35.96,40.46,32.36,0.1
1999-10-30 00:00:00+00:00,0.1,,46.58,53.78,40.46,0.4
1999-10-31 00:00:00+00:00,0.0,,42.62,52.34,27.68,0.2
1999-11-01 00:00:00+00:00,0.0,,23.9,35.6,16.34,0.1
1999-11-02 00:00:00+00:00,0.0,,38.84,46.58,17.42,0.0
1999-11-03 00:00:00+00:00,0.0,,49.1,54.32,40.1,0.0
1999-11-04 00:00:00+00:00,0.0,,39.56,50.9,29.66,0.0
1999-11-05 00:00:00+00:00,0.4,,41.0,50.0,30.2,0.0
1999-11-06 00:00:00+00:00,0.1,,51.26,60.26,43.34,0.0
1999-11-07 00:00:00+00:00,0.0,,51.62,59.54,39.74,0.0
1999-11-08 00:00:00+00:00,0.1,,46.76,57.2,37.4,0.0
1999-11-09 00:00:00+00:00,0.0,,40.64,46.4,34.34,0.0
1999-11-10 00:00:00+00:00,0.0,,44.24,50.18,33.44,0.0
1999-11-11 00:00:00+00:00,0.0,,49.82,56.3,42.26,0.0
1999-11-12 00:00:00+00:00,0.0,,54.86,61.16,50.54,0.0
1999-11-13 00:00:00+00:00,0.0,,52.88,58.28,49.46,0.0
1999-11-14 00:00:00+00:00,0.0,,50.54,61.16,36.14,0.0
1999-11-15 00:00:00+00:00,0.0,,44.96,60.62,32.72,0.0
1999-11-16 00:00:00+00:00,0.0,,42.26,55.94,33.98,0.0
1999-11-17 00:00:00+00:00,0.1,,41.18,54.86,31.82,0.0
1999-11-18 00:00:00+00:00,0.1,,30.92,33.44,26.42,0.1
1999-11-19 00:00:00+00:00,0.0,,37.76,44.6,27.5,0.2
1999-11-20 00:00:00+00:00,0.1,,33.44,39.74,25.52,0.2
1999-11-21 00:00:00+00:00,0.1,,25.52,31.28,20.66,0.3
1999-11-22 00:00:00+00:00,0.1,,22.46,24.62,19.4,0.4
1999-11-23 00:00:00+00:00,0.1,,24.26,27.86,18.68,0.4
1999-11-24 00:00:00+00:00,0.0,,28.94,34.52,23.72,0.5
1999-11-25 00:00:00+00:00,1.2,,35.78,38.12,34.34,0.5
1999-11-26 00:00:00+00:00,0.3,,35.06,37.94,32.0,1.7
1999-11-27 00:00:00+00:00,0.2,,31.64,35.6,24.44,1.8
1999-11-28 00:00:00+00:00,0.0,,31.28,42.62,24.98,2.0
1999-11-29 00:00:00+00:00,0.0,,40.82,49.64,29.66,2.0
1999-11-30 00:00:00+00:00,0.0,,46.4,52.88,37.22,2.0
1999-12-01 00:00:00+00:00,0.3,,32.36,38.84,27.86,2.0
1999-12-02 00:00:00+00:00,0.2,,28.76,33.62,25.52,2.3
1999-12-03 00:00:00+00:00,0.0,,22.46,25.52,17.06,2.5
1999-12-04 00:00:00+00:00,0.1,,22.1,33.44,12.38,2.4
1999-12-05 00:00:00+00:00,0.0,,28.76,38.48,18.68,2.4
1999-12-06 00:00:00+00:00,0.0,,30.74,33.98,27.86,2.3
1999-12-07 00:00:00+00:00,0.1,,24.26,28.94,20.3,2.3
1999-12-08 00:00:00+00:00,0.1,,21.38,24.26,15.62,2.4
1999-12-09 00:00:00+00:00,0.0,,25.16,31.1,12.74,2.4
1999-12-10 00:00:00+00:00,0.2,,24.08,26.78,21.2,2.4
1999-12-11 00:00:00+00:00,0.3,,25.52,30.2,21.74,2.6
1999-12-12 00:00:00+00:00,0.0,,34.7,38.66,30.2,2.9
1999-12-13 00:00:00+00:00,0.3,,23.54,36.14,14.72,2.9
1999-12-14 00:00:00+00:00,0.0,,21.2,25.7,15.62,3.2
1999-12-15 00:00:00+00:00,0.8,,28.22,35.6,24.26,3.2
1999-12-16 00:00:00+00:00,0.1,,35.78,37.58,32.18,4.0
1999-12-17 00:00:00+00:00,0.0,,32.0,36.32,28.58,4.1
1999-12-18 00:00:00+00:00,0.8,,28.4,36.14,14.9,4.1
1999-12-19 00:00:00+00:00,0.2,,15.98,23.18,8.6,4.9
1999-12-20 00:00:00+00:00,0.3,,25.34,28.4,22.28,5.1
1999-12-21 00:00:00+00:00,0.2,,25.52,31.46,23.0,5.4
1999-12-22 00:00:00+00:00,0.0,,30.56,36.86,22.82,5.5
1999-12-23 00:00:00+00:00,0.0,,30.2,40.64,24.62,5.5
1999-12-24 00:00:00+00:00,0.0,,37.58,47.66,24.62,5.5
1999-12-25 00:00:00+00:00,0.0,,30.92,42.8,23.54,5.5
1999-12-26 00:00:00+00:00,0.0,,27.14,38.84,19.22,5.4
1999-12-27 00:00:00+00:00,0.0,,37.76,47.48,23.72,5.4
1999-12-28 00:00:00+00:00,0.0,,43.88,46.76,36.86,5.4
1999-12-29 00:00:00+00:00,0.0,,39.38,43.34,33.98,5.4
1999-12-30 00:00:00+00:00,0.0,,35.24,39.74,30.02,5.3
1999-12-31 00:00:00+00:00,0.2,,32.72,35.6,30.02,5.3
2000-01-01 00:00:00+00:00,0.1,,28.04,30.92,23.72,5.5
2000-01-02 00:00:00+00:00,0.4,,20.12,23.9,16.88,5.6
2000-01-03 00:00:00+00:00,0.1,,18.14,23.36,15.26,5.9
2000-01-04 00:00:00+00:00,0.1,,28.76,33.62,23.72,6.0
2000-01-05 00:00:00+00:00,0.1,,22.28,25.52,20.66,6.1
2000-01-06 00:00:00+00:00,0.1,,26.06,30.74,20.3,6.2
2000-01-07 00:00:00+00:00,0.0,,27.86,30.2,25.52,6.2
2000-01-08 00:00:00+00:00,0.1,,26.42,29.3,24.44,6.2
2000-01-09 00:00:00+00:00,0.2,,24.44,29.84,17.42,6.3
2000-01-10 00:00:00+00:00,0.2,,17.6,21.38,14.36,6.4
2000-01-11 00:00:00+00:00,0.8,,20.3,23.72,15.8,6.6
2000-01-12 00:00:00+00:00,0.1,,17.78,21.74,9.5,7.4
2000-01-13 00:00:00+00:00,0.1,,24.08,35.42,8.6,7.4
2000-01-14 00:00:00+00:00,0.0,,37.76,40.28,34.88,7.5
2000-01-15 00:00:00+00:00,0.1,,32.36,36.68,27.5,7.5
2000-01-16 00:00:00+00:00,0.0,,34.88,46.94,23.9,7.5
2000-01-17 00:00:00+00:00,0.0,,30.02,33.44,26.24,7.5
2000-01-18 00:00:00+00:00,0.0,,33.8,39.2,24.44,7.5
2000-01-19 00:00:00+00:00,0.0,,30.38,33.62,26.6,7.5
2000-01-20 00:00:00+00:00,0.0,,35.96,39.38,33.44,7.5
2000-01-21 00:00:00+00:00,0.0,,30.2,33.62,25.52,7.5
2000-01-22 00:00:00+00:00,0.0,,25.52,27.14,23.9,7.5
2000-01-23 00:00:00+00:00,0.1,,27.68,32.54,23.72,7.5
2000-01-24 00:00:00+00:00,0.0,,27.32,35.06,17.42,7.5
2000-01-25 00:00:00+00:00,0.6,,28.04,35.24,17.6,7.5
2000-01-26 00:00:00+00:00,0.6,,26.6,32.54,19.04,8.1
2000-01-27 00:00:00+00:00,0.0,,20.3,25.16,17.6,8.6
2000-01-28 00:00:00+00:00,0.1,,15.26,24.98,3.92,8.6
2000-01-29 00:00:00+00:00,0.0,,9.14,25.52,0.5,8.7
2000-01-30 00:00:00+00:00,0.0,,14.54,33.62,6.08,8.7
2000-01-31 00:00:00+00:00,0.0,,20.3,32.72,8.06,8.7
2000-02-01 00:00:00+00:00,0.0,,34.7,39.56,24.08,8.7
2000-02-02 00:00:00+00:00,0.1,,37.04,39.74,32.0,8.7
2000-02-03 00:00:00+00:00,0.0,,22.28,32.36,11.48,8.7
2000-02-04 00:00:00+00:00,0.0,,21.74,36.68,4.64,8.7
2000-02-05 00:00:00+00:00,0.1,,33.44,39.02,28.76,8.7
2000-02-06 00:00:00+00:00,0.0,,35.6,41.0,32.36,8.8
2000-02-07 00:00:00+00:00,0.0,,40.64,47.48,34.34,8.8
2000-02-08 00:00:00+00:00,0.0,,42.8,46.4,40.46,8.8
2000-02-09 00:00:00+00:00,0.1,,35.24,41.54,23.72,8.8
2000-02-10 00:00:00+00:00,0.0,,22.46,34.34,9.32,8.9
2000-02-11 00:00:00+00:00,0.2,,20.12,32.54,5.18,8.9
2000-02-12 00:00:00+00:00,0.1,,18.14,27.32,11.12,9.1
2000-02-13 00:00:00+00:00,0.2,,24.08,28.76,11.48,9.2
2000-02-14 00:00:00+00:00,0.4,,30.02,36.68,23.18,9.4
2000-02-15 00:00:00+00:00,0.4,,27.5,32.36,24.44,9.7
2000-02-16 00:00:00+00:00,0.1,,23.72,34.52,10.58,10.1
2000-02-17 00:00:00+00:00,0.0,,15.44,32.54,6.62,10.1
2000-02-18 00:00:00+00:00,0.0,,20.48,28.58,6.8,10.1
2000-02-19 00:00:00+00:00,0.0,,29.48,36.86,22.46,10.1
2000-02-20 00:00:00+00:00,0.0,,34.88,48.38,18.68,10.1
2000-02-21 00:00:00+00:00,0.0,,40.64,47.48,34.52,10.1
2000-02-22 00:00:00+00:00,0.0,,35.96,49.28,25.7,10.1
2000-02-23 00:00:00+00:00,0.0,,33.08,44.78,23.9,10.1
2000-02-24 00:00:00+00:00,0.2,,31.82,41.0,25.7,10.1
2000-02-25 00:00:00+00:00,0.2,,23.72,27.32,20.12,10.3
2000-02-26 00:00:00+00:00,0.0,,28.04,35.42,19.76,10.5
2000-02-27 00:00:00+00:00,0.1,,37.58,47.3,27.14,10.5
2000-02-28 00:00:00+00:00,0.2,,34.7,40.28,32.36,10.6
2000-02-29 00:00:00+00:00,0.1,,32.9,43.16,24.62,10.7
2000-03-01 00:00:00+00:00,0.0,,33.08,43.34,26.42,10.8
2000-03-02 00:00:00+00:00,0.0,,36.5,44.78,28.76,10.8
2000-03-03 00:00:00+00:00,0.0,,39.02,48.2,27.86,10.8
2000-03-04 00:00:00+00:00,0.0,,43.34,54.5,33.44,10.8
2000-03-05 00:00:00+00:00,0.0,,39.92,52.34,29.12,10.7
2000-03-06 00:00:00+00:00,0.0,,35.78,47.84,27.86,10.7
2000-03-07 00:00:00+00:00,0.4,,33.98,42.8,26.24,10.7
2000-03-08 00:00:00+00:00,0.3,,22.82,30.2,17.06,11.1
2000-03-09 00:00:00+00:00,0.0,,22.28,37.94,8.96,11.4
2000-03-10 00:00:00+00:00,0.0,,28.22,38.3,17.06,11.4
2000-03-11 00:00:00+00:00,0.7,,27.68,30.02,23.72,11.4
2000-03-12 00:00:00+00:00,0.0,,26.42,32.18,20.84,12.1
2000-03-13 00:00:00+00:00,0.2,,27.86,33.8,17.6,12.1
2000-03-14 00:00:00+00:00,0.1,,32.18,39.38,23.36,12.2
2000-03-15 00:00:00+00:00,0.0,,25.52,35.96,15.44,12.2
2000-03-16 00:00:00+00:00,0.8,,30.38,46.04,14.0,12.2
2000-03-17 00:00:00+00:00,0.1,,26.96,32.18,23.36,13.0
2000-03-18 00:00:00+00:00,0.1,,31.28,38.12,23.0,13.1
2000-03-19 00:00:00+00:00,0.3,,26.24,37.94,14.9,13.2
2000-03-20 00:00:00+00:00,0.0,,19.22,32.72,9.14,13.5
2000-03-21 00:00:00+00:00,0.1,,30.38,41.18,12.02,13.5
2000-03-22 00:00:00+00:00,0.0,,38.3,54.32,23.54,13.5
2000-03-23 00:00:00+00:00,0.2,,32.72,47.12,22.1,13.5
2000-03-24 00:00:00+00:00,0.0,,30.2,37.76,21.02,13.6
2000-03-25 00:00:00+00:00,0.0,,40.82,51.26,29.66,13.6
2000-03-26 00:00:00+00:00,0.0,,39.74,46.94,32.54,13.6
2000-03-27 00:00:00+00:00,0.0,,43.52,54.86,36.68,13.5
2000-03-28 00:00:00+00:00,0.7,,34.16,45.32,24.26,13.3
2000-03-29 00:00:00+00:00,0.1,,26.06,30.2,22.46,13.7
2000-03-30 00:00:00+00:00,0.1,,29.3,36.68,20.84,13.8
2000-03-31 00:00:00+00:00,0.1,,30.38,42.08,19.22,13.8
2000-04-01 00:00:00+00:00,0.0,,34.88,40.1,23.36,13.9
2000-04-02 00:00:00+00:00,0.0,,24.08,33.26,10.76,13.9
2000-04-03 00:00:00+00:00,0.0,,36.14,48.02,10.76,13.9
2000-04-04 00:00:00+00:00,0.1,,49.64,57.2,39.56,13.6
2000-04-05 00:00:00+00:00,0.0,,37.4,44.96,30.38,13.0
2000-04-06 00:00:00+00:00,0.3,,30.74,35.78,24.98,12.7
2000-04-07 00:00:00+00:00,0.0,,32.9,41.36,21.92,13.0
2000-04-08 00:00:00+00:00,0.0,,41.9,54.68,31.64,12.8
2000-04-09 00:00:00+00:00,0.0,,41.18,55.4,28.76,12.6
2000-04-10 00:00:00+00:00,0.0,,37.4,50.72,27.14,12.0
2000-04-11 00:00:00+00:00,0.0,,43.16,55.22,27.14,11.8
2000-04-12 00:00:00+00:00,0.0,,48.38,53.42,39.56,11.2
2000-04-13 00:00:00+00:00,0.6,,38.84,48.02,23.36,10.7
2000-04-14 00:00:00+00:00,0.0,,23.72,30.02,17.96,10.5
2000-04-15 00:00:00+00:00,0.0,,33.62,46.94,17.42,10.3
2000-04-16 00:00:00+00:00,0.3,,41.18,51.98,29.3,10.0
2000-04-17 00:00:00+00:00,0.2,,42.8,53.96,33.98,10.0
2000-04-18 00:00:00+00:00,0.0,,35.42,38.84,32.9,9.1
2000-04-19 00:00:00+00:00,0.1,,41.0,56.48,31.28,8.9
2000-04-20 00:00:00+00:00,0.0,,45.32,55.22,35.42,8.4
2000-04-21 00:00:00+00:00,0.1,,46.04,60.26,34.34,7.6
2000-04-22 00:00:00+00:00,0.7,,44.96,58.64,35.06,6.6
2000-04-23 00:00:00+00:00,0.0,,36.5,47.84,30.74,5.9
2000-04-24 00:00:00+00:00,0.1,,32.54,41.72,26.42,5.0
2000-04-25 00:00:00+00:00,0.3,,36.32,48.2,27.32,4.7
2000-04-26 00:00:00+00:00,0.1,,36.14,48.56,29.84,4.5
2000-04-27 00:00:00+00:00,0.1,,43.7,58.28,29.66,3.8
2000-04-28 00:00:00+00:00,0.1,,44.6,64.58,32.54,2.8
2000-04-29 00:00:00+00:00,0.1,,33.8,44.06,27.68,1.7
2000-04-30 00:00:00+00:00,0.0,,42.8,58.1,25.16,1.1
2000-05-01 00:00:00+00:00,0.0,,51.8,68.9,35.6,0.0
2000-05-02 00:00:00+00:00,0.0,,48.38,61.52,37.58,0.0
2000-05-03 00:00:00+00:00,0.0,,52.34,66.74,35.6,0.0
2000-05-04 00:00:00+00:00,0.2,,44.96,56.84,35.96,0.0
2000-05-05 00:00:00+00:00,0.4,,38.66,44.78,35.24,0.0
2000-05-06 00:00:00+00:00,0.2,,36.5,41.9,33.8,0.0
2000-05-07 00:00:00+00:00,0.3,,35.42,42.8,30.2,0.0
2000-05-08 00:00:00+00:00,0.0,,39.2,49.46,29.48,0.0
2000-05-09 00:00:00+00:00,0.3,,39.02,47.66,32.54,0.0
2000-05-10 00:00:00+00:00,0.6,,35.6,47.3,29.48,0.0
2000-05-11 00:00:00+00:00,1.0,,29.48,33.44,26.42,0.3
2000-05-12 00:00:00+00:00,0.2,,32.18,42.62,26.06,1.2
2000-05-13 00:00:00+00:00,0.0,,37.76,50.54,26.6,1.1
2000-05-14 00:00:00+00:00,0.1,,41.9,55.22,31.28,0.3
2000-05-15 00:00:00+00:00,0.0,,44.96,58.82,33.62,0.0
2000-05-16 00:00:00+00:00,1.0,,42.98,55.22,34.88,0.0
2000-05-17 00:00:00+00:00,0.2,,39.2,48.56,33.08,0.0
2000-05-18 00:00:00+00:00,0.0,,44.6,58.28,32.54,0.0
2000-05-19 00:00:00+00:00,0.0,,45.86,54.5,34.7,0.0
2000-05-20 00:00:00+00:00,0.0,,50.0,58.1,40.28,0.0
2000-05-21 00:00:00+00:00,0.0,,53.78,61.16,47.84,0.0
2000-05-22 00:00:00+00:00,0.0,,56.48,63.14,51.62,0.0
2000-05-23 00:00:00+00:00,0.1,,52.16,61.7,35.24,0.0
2000-05-24 00:00:00+00:00,0.0,,46.22,59.54,34.34,0.0
2000-05-25 00:00:00+00:00,0.0,,50.0,62.24,38.3,0.0
2000-05-26 00:00:00+00:00,0.7,,41.9,53.6,34.7,0.0
2000-05-27 00:00:00+00:00,0.1,,49.28,60.98,33.26,0.0
2000-05-28 00:00:00+00:00,0.3,,48.38,58.28,41.9,0.0
2000-05-29 00:00:00+00:00,0.8,,37.94,44.42,33.8,0.0
2000-05-30 00:00:00+00:00,0.0,,40.1,48.56,33.44,0.0
2000-05-31 00:00:00+00:00,0.4,,37.94,51.44,29.12,0.0
2000-06-01 00:00:00+00:00,0.0,,40.46,56.12,29.48,0.0
2000-06-02 00:00:00+00:00,0.0,,50.36,68.54,30.74,0.0
2000-06-03 00:00:00+00:00,0.0,,51.8,65.66,37.04,0.0
2000-06-04 00:00:00+00:00,0.0,,50.18,67.28,34.34,0.0
2000-06-05 00:00:00+00:00,0.0,,58.46,77.0,38.48,0.0
2000-06-06 00:00:00+00:00,0.0,,59.54,74.12,43.7,0.0
2000-06-07 00:00:00+00:00,0.0,,62.96,80.24,42.8,0.0
2000-06-08 00:00:00+00:00,0.0,,61.34,75.92,44.6,0.0
2000-06-09 00:00:00+00:00,0.2,,47.48,59.0,41.54,0.0
2000-06-10 00:00:00+00:00,0.2,,45.5,57.38,36.86,0.0
2000-06-11 00:00:00+00:00,0.0,,48.02,56.66,37.4,0.0
2000-06-12 00:00:00+00:00,1.2,,46.4,49.1,43.34,0.0
2000-06-13 00:00:00+00:00,0.3,,46.22,54.14,39.02,0.0
2000-06-14 00:00:00+00:00,0.0,,53.24,57.74,46.4,0.0
2000-06-15 00:00:00+00:00,0.4,,43.16,51.8,34.7,0.0
2000-06-16 00:00:00+00:00,0.1,,39.92,51.26,34.34,0.1
2000-06-17 00:00:00+00:00,0.1,,46.04,59.36,34.34,0.0
2000-06-18 00:00:00+00:00,0.1,,52.7,69.98,36.5,0.0
2000-06-19 00:00:00+00:00,1.6,,42.8,49.64,37.58,0.0
2000-06-20 00:00:00+00:00,0.1,,46.94,57.92,37.58,0.0
2000-06-21 00:00:00+00:00,0.0,,55.58,69.44,45.5,0.0
2000-06-22 00:00:00+00:00,0.1,,51.26,63.14,43.16,0.0
2000-06-23 00:00:00+00:00,0.0,,54.68,67.1,42.8,0.0
2000-06-24 00:00:00+00:00,0.2,,54.32,68.36,40.46,0.0
2000-06-25 00:00:00+00:00,0.3,,44.42,57.74,35.6,0.0
2000-06-26 00:00:00+00:00,0.0,,49.46,62.96,34.16,0.0
2000-06-27 00:00:00+00:00,0.0,,48.2,59.18,38.84,0.0
2000-06-28 00:00:00+00:00,0.0,,55.76,71.24,37.04,0.0
2000-06-29 00:00:00+00:00,0.0,,57.38,69.8,46.22,0.0
2000-06-30 00:00:00+00:00,0.0,,62.42,77.72,43.7,0.0
2000-07-01 00:00:00+00:00,0.2,,55.76,73.4,43.52,0.0
2000-07-02 00:00:00+00:00,0.0,,55.22,71.96,42.8,0.0
2000-07-03 00:00:00+00:00,0.0,,55.22,67.28,45.5,0.0
2000-07-04 00:00:00+00:00,0.0,,48.02,57.92,39.2,0.0
2000-07-05 00:00:00+00:00,0.0,,54.86,71.42,37.22,0.0
2000-07-06 00:00:00+00:00,0.0,,54.14,68.54,40.28,0.0
2000-07-07 00:00:00+00:00,0.0,,55.04,71.06,37.94,0.0
2000-07-08 00:00:00+00:00,0.0,,59.9,77.36,43.7,0.0
2000-07-09 00:00:00+00:00,0.0,,55.94,71.24,44.6,0.0
2000-07-10 00:00:00+00:00,0.1,,54.14,70.88,43.16,0.0
2000-07-11 00:00:00+00:00,0.0,,58.28,73.76,42.44,0.0
2000-07-12 00:00:00+00:00,0.0,,61.52,80.6,45.14,0.0
2000-07-13 00:00:00+00:00,0.0,,69.26,86.36,49.1,0.0
2000-07-14 00:00:00+00:00,0.0,,70.34,86.72,49.64,0.0
2000-07-15 00:00:00+00:00,0.0,,60.98,73.4,48.38,0.0
2000-07-16 00:00:00+00:00,0.0,,58.46,73.04,48.56,0.0
2000-07-17 00:00:00+00:00,0.0,,57.02,70.7,45.5,0.0
2000-07-18 00:00:00+00:00,0.0,,60.62,69.98,51.44,0.0
2000-07-19 00:00:00+00:00,0.0,,60.08,70.16,48.56,0.0
2000-07-20 00:00:00+00:00,0.0,,56.12,73.4,42.98,0.0
2000-07-21 00:00:00+00:00,0.0,,59.18,76.28,43.34,0.0
2000-07-22 00:00:00+00:00,0.0,,64.4,85.1,44.96,0.0
2000-07-23 00:00:00+00:00,0.0,,64.4,81.14,45.5,0.0
2000-07-24 00:00:00+00:00,0.0,,56.48,74.3,39.38,0.0
2000-07-25 00:00:00+00:00,0.0,,60.08,78.08,43.34,0.0
2000-07-26 00:00:00+00:00,0.0,,63.68,78.62,47.84,0.0
2000-07-27 00:00:00+00:00,0.0,,64.94,80.78,50.36,0.0
2000-07-28 00:00:00+00:00,0.0,,63.5,81.5,46.4,0.0
2000-07-29 00:00:00+00:00,0.0,,66.02,84.74,50.18,0.0
2000-07-30 00:00:00+00:00,0.0,,69.26,87.08,50.54,0.0
2000-07-31 00:00:00+00:00,0.0,,73.58,87.08,52.16,0.0
2000-08-01 00:00:00+00:00,0.0,,66.38,83.84,50.54,0.0
2000-08-02 00:00:00+00:00,0.0,,64.4,80.06,51.08,0.0
2000-08-03 00:00:00+00:00,0.0,,62.96,79.34,49.46,0.0
2000-08-04 00:00:00+00:00,0.2,,56.84,69.62,45.86,0.0
2000-08-05 00:00:00+00:00,0.0,,59.0,72.32,48.92,0.0
2000-08-06 00:00:00+00:00,0.0,,59.54,74.12,44.6,0.0
2000-08-07 00:00:00+00:00,0.0,,59.18,75.38,45.32,0.0
2000-08-08 00:00:00+00:00,0.0,,60.8,79.16,43.7,0.0
2000-08-09 00:00:00+00:00,0.0,,68.18,86.0,49.1,0.0
2000-08-10 00:00:00+00:00,0.0,,65.66,79.88,51.98,0.0
2000-08-11 00:00:00+00:00,0.1,,58.46,71.24,45.14,0.0
2000-08-12 00:00:00+00:00,0.0,,57.92,75.56,42.8,0.0
2000-08-13 00:00:00+00:00,0.0,,62.06,79.7,46.04,0.0
2000-08-14 00:00:00+00:00,0.0,,58.1,75.74,41.18,0.0
2000-08-15 00:00:00+00:00,0.0,,61.88,83.84,42.62,0.0
2000-08-16 00:00:00+00:00,0.0,,55.4,71.6,41.9,0.0
2000-08-17 00:00:00+00:00,0.0,,57.56,72.5,43.52,0.0
2000-08-18 00:00:00+00:00,0.2,,55.4,74.48,43.34,0.0
2000-08-19 00:00:00+00:00,0.1,,59.54,75.74,43.7,0.0
2000-08-20 00:00:00+00:00,0.0,,48.74,62.24,39.02,0.0
2000-08-21 00:00:00+00:00,0.0,,51.26,66.74,38.48,0.0
2000-08-22 00:00:00+00:00,0.0,,56.66,77.72,38.84,0.0
2000-08-23 00:00:00+00:00,0.0,,65.3,80.96,48.92,0.0
2000-08-24 00:00:00+00:00,0.2,,58.64,75.38,46.4,0.0
2000-08-25 00:00:00+00:00,0.0,,58.64,75.74,44.78,0.0
2000-08-26 00:00:00+00:00,0.0,,59.9,76.82,47.66,0.0
2000-08-27 00:00:00+00:00,0.0,,59.72,75.2,43.34,0.0
2000-08-28 00:00:00+00:00,0.0,,49.64,65.84,35.6,0.0
2000-08-29 00:00:00+00:00,0.0,,55.22,73.22,39.38,0.0
2000-08-30 00:00:00+00:00,0.0,,48.38,60.44,37.58,0.0
2000-08-31 00:00:00+00:00,0.0,,49.82,68.0,33.98,0.0
2000-09-01 00:00:00+00:00,0.0,,50.54,60.08,43.7,0.0
2000-09-02 00:00:00+00:00,0.1,,49.28,61.16,41.0,0.0
2000-09-03 00:00:00+00:00,0.0,,49.46,61.52,39.74,0.0
2000-09-04 00:00:00+00:00,0.0,,55.04,69.08,38.84,0.0
2000-09-05 00:00:00+00:00,0.0,,57.2,69.8,42.8,0.0
2000-09-06 00:00:00+00:00,0.0,,45.68,54.5,40.64,0.0
2000-09-07 00:00:00+00:00,0.0,,53.96,64.4,43.34,0.0
2000-09-08 00:00:00+00:00,0.0,,58.28,66.74,44.96,0.0
2000-09-09 00:00:00+00:00,0.3,,42.8,51.08,33.62,0.0
2000-09-10 00:00:00+00:00,1.0,,44.6,48.56,42.08,0.1
2000-09-11 00:00:00+00:00,0.2,,48.38,56.3,40.82,0.1
2000-09-12 00:00:00+00:00,0.0,,59.0,68.72,50.54,0.0
2000-09-13 00:00:00+00:00,0.1,,57.74,70.7,44.06,0.0
2000-09-14 00:00:00+00:00,0.0,,55.76,77.18,41.36,0.0
2000-09-15 00:00:00+00:00,0.0,,65.12,82.76,47.66,0.0
2000-09-16 00:00:00+00:00,0.0,,59.36,74.84,46.94,0.0
2000-09-17 00:00:00+00:00,0.0,,58.1,71.42,46.58,0.0
2000-09-18 00:00:00+00:00,0.0,,54.68,61.34,47.48,0.0
2000-09-19 00:00:00+00:00,0.3,,43.52,56.12,31.64,0.0
2000-09-20 00:00:00+00:00,0.2,,39.02,48.92,27.68,0.1
2000-09-21 00:00:00+00:00,0.5,,29.84,34.7,22.1,0.3
2000-09-22 00:00:00+00:00,0.1,,21.2,26.96,18.68,0.4
2000-09-23 00:00:00+00:00,0.0,,22.1,31.1,16.52,0.4
2000-09-24 00:00:00+00:00,0.0,,30.02,46.04,16.34,0.3
2000-09-25 00:00:00+00:00,0.0,,39.74,55.58,29.3,0.2
2000-09-26 00:00:00+00:00,0.0,,42.62,60.26,31.28,0.1
2000-09-27 00:00:00+00:00,0.0,,47.48,63.5,33.26,0.0
2000-09-28 00:00:00+00:00,0.0,,51.26,65.3,39.56,0.0
2000-09-29 00:00:00+00:00,1.1,,51.26,60.44,39.2,0.0
